parent id	parent name	child id	child name
FMA3710	vascular tree	FMA14284	venous tree organ
FMA3711	segment of artery	FMA86254	segment of systemic artery
FMA3714	variant artery	FMA66267	variant systemic artery
FMA3726	anastomosis	FMA3727	vascular anastomosis
FMA3727	vascular anastomosis	FMA3728	arterial anastomosis
FMA3727	vascular anastomosis	FMA3729	venous anastomosis
FMA3728	arterial anastomosis	FMA22834	superficial palmar arterial arch
FMA3728	arterial anastomosis	FMA22838	deep palmar arterial arch
FMA3729	venous anastomosis	FMA22911	deep palmar venous arch
FMA3729	venous anastomosis	FMA22914	superficial palmar venous arch
FMA3813	anterior ventricular branch of right coronary artery	FMA3815	first anterior ventricular branch of right coronary artery
FMA3813	anterior ventricular branch of right coronary artery	FMA3818	marginal branch of right coronary artery
FMA3835	posterior ventricular branch of right coronary artery	FMA3837	first posterior ventricular branch of right coronary artery
FMA3845	septal branch of right posterior interventricular artery	FMA3847	first septal branch of right posterior interventricular artery
FMA3845	septal branch of right posterior interventricular artery	FMA3848	second septal branch of right posterior interventricular artery
FMA3870	right anterior branch of anterior interventricular branch of left coronary artery	FMA3872	first right anterior branch of anterior interventricular branch of left coronary artery
FMA3870	right anterior branch of anterior interventricular branch of left coronary artery	FMA3874	second right anterior branch of anterior interventricular branch of left coronary artery
FMA3870	right anterior branch of anterior interventricular branch of left coronary artery	FMA3876	third right anterior branch of anterior interventricular branch of left coronary artery
FMA3939	common carotid artery	FMA3941	right common carotid artery
FMA3939	common carotid artery	FMA4058	left common carotid artery
FMA3947	internal carotid artery	FMA3949	right internal carotid artery
FMA3947	internal carotid artery	FMA4062	left internal carotid artery
FMA3951	subclavian artery	FMA3953	right subclavian artery
FMA3951	subclavian artery	FMA4694	left subclavian artery
FMA3956	vertebral artery	FMA3958	right vertebral artery
FMA3956	vertebral artery	FMA4066	left vertebral artery
FMA3960	internal thoracic artery	FMA3969	right internal thoracic artery
FMA3960	internal thoracic artery	FMA4068	left internal thoracic artery
FMA3990	thyrocervical trunk	FMA3992	right thyrocervical trunk
FMA3990	thyrocervical trunk	FMA4084	left thyrocervical trunk
FMA3994	second posterior intercostal artery	FMA4112	left second posterior intercostal artery
FMA3994	second posterior intercostal artery	FMA5041	right second posterior intercostal artery
FMA4176	posterior intercostal artery	FMA3994	second posterior intercostal artery
FMA4176	posterior intercostal artery	FMA66241	first posterior intercostal artery
FMA4613	subcostal artery	FMA4634	right subcostal artery
FMA4613	subcostal artery	FMA4654	left subcostal artery
FMA4677	trunk of branch of coronary artery	FMA74912	trunk of anterior interventricular branch of left coronary artery
FMA4723	brachiocephalic vein	FMA4751	right brachiocephalic vein
FMA4723	brachiocephalic vein	FMA4761	left brachiocephalic vein
FMA4724	internal jugular vein	FMA4754	right internal jugular vein
FMA4724	internal jugular vein	FMA4762	left internal jugular vein
FMA4725	subclavian vein	FMA4755	right subclavian vein
FMA4725	subclavian vein	FMA4763	left subclavian vein
FMA4729	internal thoracic vein	FMA4758	right internal thoracic vein
FMA4731	superior epigastric vein	FMA4771	right superior epigastric vein
FMA4731	superior epigastric vein	FMA4785	left superior epigastric vein
FMA4732	musculophrenic vein	FMA4772	right musculophrenic vein
FMA4732	musculophrenic vein	FMA4786	left musculophrenic vein
FMA5018	bone organ	FMA7474	long bone
FMA5018	bone organ	FMA7475	short bone
FMA5018	bone organ	FMA7476	flat bone
FMA5018	bone organ	FMA7477	irregular bone
FMA5022	muscle organ	FMA9616	muscle of head
FMA5022	muscle organ	FMA9617	muscle of neck
FMA5022	muscle organ	FMA9621	muscle of upper limb
FMA5022	muscle organ	FMA9622	muscle of lower limb
FMA5022	muscle organ	FMA22594	muscle of vertebral column
FMA5022	muscle organ	FMA58274	muscle of trunk
FMA5865	cranial nerve	FMA50865	trochlear nerve
FMA5884	ganglion	FMA5889	autonomic ganglion
FMA5889	autonomic ganglion	FMA5894	parasympathetic ganglion
FMA5894	parasympathetic ganglion	FMA5895	cranial parasympathetic ganglion
FMA5895	cranial parasympathetic ganglion	FMA6964	ciliary ganglion
FMA5897	anatomical space	FMA9338	anatomical conduit space
FMA5897	anatomical space	FMA67552	anatomical cavity
FMA5897	anatomical space	FMA84926	anatomical compartment space
FMA5898	anatomical junction	FMA9649	decussation
FMA5898	anatomical junction	FMA11337	zone of continuity
FMA5913	nerve trunk	FMA50863	optic nerve
FMA5913	nerve trunk	FMA62045	optic chiasm
FMA5913	nerve trunk	FMA62046	optic tract
FMA6964	ciliary ganglion	FMA53549	right ciliary ganglion
FMA6964	ciliary ganglion	FMA53550	left ciliary ganglion
FMA7037	branch of ciliary ganglion	FMA7041	short ciliary nerve
FMA7145	membrane organ	FMA54839	interosseous membrane
FMA7145	membrane organ	FMA55132	thyrohyoid membrane
FMA7145	membrane organ	FMA59086	tarsal plate of eyelid
FMA7146	organ component gland	FMA19386	seminal vesicle
FMA7203	kidney	FMA7204	right kidney
FMA7203	kidney	FMA7205	left kidney
FMA7210	testis	FMA7211	right testis
FMA7210	testis	FMA7212	left testis
FMA7232	cusp of cardiac valve	FMA7248	cusp of pulmonary valve
FMA7232	cusp of cardiac valve	FMA7251	cusp of aortic valve
FMA7237	leaflet of tricuspid valve	FMA7238	anterior leaflet of tricuspid valve
FMA7237	leaflet of tricuspid valve	FMA7239	posterior leaflet of tricuspid valve
FMA7237	leaflet of tricuspid valve	FMA7240	septal leaflet of tricuspid valve
FMA7241	leaflet of mitral valve	FMA7242	anterior leaflet of mitral valve
FMA7241	leaflet of mitral valve	FMA7243	posterior leaflet of mitral valve
FMA7248	cusp of pulmonary valve	FMA7247	left anterior cusp of pulmonary valve
FMA7248	cusp of pulmonary valve	FMA7249	right anterior cusp of pulmonary valve
FMA7248	cusp of pulmonary valve	FMA7250	posterior cusp of pulmonary valve
FMA7251	cusp of aortic valve	FMA7252	right posterior cusp of aortic valve
FMA7251	cusp of aortic valve	FMA7253	anterior cusp of aortic valve
FMA7251	cusp of aortic valve	FMA7254	left posterior cusp of aortic valve
FMA7405	main bronchus	FMA7396	left main bronchus
FMA7409	bronchus	FMA7405	main bronchus
FMA7409	bronchus	FMA68418	right main bronchus proper
