concept id	representation id	en
FMA3710	BP8338	vascular tree
FMA3711	BP6016	segment of artery
FMA3714	BP10561	variant artery
FMA3726	BP6599	anastomosis
FMA3727	BP6600	vascular anastomosis
FMA3728	BP6601	arterial anastomosis
FMA3729	BP6608	venous anastomosis
FMA3736	BP10329	ascending aorta
FMA3768	BP10322	arch of aorta
FMA3784	BP10248	descending aorta
FMA3789	BP6008	abdominal aorta
FMA3802	BP8221	trunk of right coronary artery
FMA3807	BP8689	right conus artery
FMA3813	BP7825	anterior ventricular branch of right coronary artery
FMA3815	BP7824	first anterior ventricular branch of right coronary artery
FMA3818	BP8446	marginal branch of right coronary artery
FMA3835	BP7762	posterior ventricular branch of right coronary artery
FMA3837	BP7761	first posterior ventricular branch of right coronary artery
FMA3840	BP7876	posterior interventricular branch of right coronary artery
FMA3845	BP8569	septal branch of right posterior interventricular artery
FMA3847	BP8568	first septal branch of right posterior interventricular artery
FMA3848	BP9235	second septal branch of right posterior interventricular artery
FMA3855	BP8961	trunk of left coronary artery
FMA3860	BP8004	diagonal branch of anterior descending branch of left coronary artery
FMA3868	BP8013	conus branch of anterior interventricular branch of left coronary artery
FMA3870	BP8650	right anterior branch of anterior interventricular branch of left coronary artery
FMA3872	BP8913	first right anterior branch of anterior interventricular branch of left coronary artery
FMA3874	BP8897	second right anterior branch of anterior interventricular branch of left coronary artery
FMA3876	BP8649	third right anterior branch of anterior interventricular branch of left coronary artery
FMA3892	BP8286	septal branch of anterior interventricular artery
FMA3895	BP8397	circumflex branch of left coronary artery
FMA3932	BP10355	brachiocephalic artery
FMA3939	BP10289	common carotid artery
FMA3941	BP10288	right common carotid artery
FMA3947	BP8901	internal carotid artery
FMA3949	BP7618	right internal carotid artery
FMA3951	BP10282	subclavian artery
FMA3953	BP10281	right subclavian artery
FMA3956	BP8813	vertebral artery
FMA3958	BP7644	right vertebral artery
FMA3960	BP6337	internal thoracic artery
FMA3969	BP6338	right internal thoracic artery
FMA3988	BP6218	right superior epigastric artery
FMA3990	BP6416	thyrocervical trunk
FMA3992	BP6417	right thyrocervical trunk
FMA3994	BP6134	second posterior intercostal artery
FMA4057	BP6211	right dorsal scapular artery
FMA4058	BP10326	left common carotid artery
FMA4062	BP8900	left internal carotid artery
FMA4066	BP8812	left vertebral artery
FMA4068	BP6339	left internal thoracic artery
FMA4077	BP6222	left musculophrenic artery
FMA4083	BP6219	left superior epigastric artery
FMA4084	BP6418	left thyrocervical trunk
FMA4086	BP6421	left costocervical trunk
FMA4088	BP6330	left superior intercostal artery
FMA4112	BP6136	left second posterior intercostal artery
FMA4134	BP6333	left deep cervical artery
FMA4149	BP6399	esophageal artery
FMA4176	BP6133	posterior intercostal artery
FMA4613	BP6086	subcostal artery
FMA4634	BP6087	right subcostal artery
FMA4654	BP6088	left subcostal artery
FMA4677	BP8971	trunk of branch of coronary artery
FMA4694	BP10308	left subclavian artery
FMA4706	BP9086	coronary sinus
FMA4707	BP8933	great cardiac vein
FMA4708	BP8647	left marginal vein
FMA4712	BP8014	posterior vein of left ventricle
FMA4713	BP7983	middle cardiac vein
FMA4714	BP8778	small cardiac vein
FMA4716	BP8476	right marginal vein
FMA4720	BP10292	superior vena cava
FMA4723	BP10268	brachiocephalic vein
FMA4724	BP10335	internal jugular vein
FMA4725	BP10346	subclavian vein
FMA4729	BP5969	internal thoracic vein
FMA4731	BP10338	superior epigastric vein
FMA4732	BP5962	musculophrenic vein
FMA4751	BP10354	right brachiocephalic vein
FMA4754	BP10334	right internal jugular vein
FMA4755	BP10356	right subclavian vein
FMA4758	BP5970	right internal thoracic vein
