concept id	name	element file id
FMA3734	aorta	FJ1931
FMA3734	aorta	FJ1932
FMA3734	aorta	FJ3411
FMA3734	aorta	FJ3413
FMA3734	aorta	FJ3427
FMA3736	ascending aorta	FJ3413
FMA3768	arch of aorta	FJ3411
FMA3784	descending aorta	FJ1931
FMA3784	descending aorta	FJ1932
FMA3784	descending aorta	FJ3427
FMA3789	abdominal aorta	FJ1932
FMA3802	trunk of right coronary artery	FJ2723
FMA3807	right conus artery	FJ2670
FMA3807	right conus artery	FJ2676
FMA3815	first anterior ventricular branch of right coronary artery	FJ2671
FMA3815	first anterior ventricular branch of right coronary artery	FJ2673
FMA3815	first anterior ventricular branch of right coronary artery	FJ2677
FMA3818	marginal branch of right coronary artery	FJ2667
FMA3818	marginal branch of right coronary artery	FJ2668
FMA3818	marginal branch of right coronary artery	FJ2672
FMA3818	marginal branch of right coronary artery	FJ2674
FMA3818	marginal branch of right coronary artery	FJ2675
FMA3837	first posterior ventricular branch of right coronary artery	FJ2714
FMA3837	first posterior ventricular branch of right coronary artery	FJ2715
FMA3837	first posterior ventricular branch of right coronary artery	FJ2716
FMA3837	first posterior ventricular branch of right coronary artery	FJ2717
FMA3837	first posterior ventricular branch of right coronary artery	FJ2718
FMA3837	first posterior ventricular branch of right coronary artery	FJ2719
FMA3837	first posterior ventricular branch of right coronary artery	FJ2720
FMA3837	first posterior ventricular branch of right coronary artery	FJ2721
FMA3837	first posterior ventricular branch of right coronary artery	FJ2722
FMA3840	posterior interventricular branch of right coronary artery	FJ2692
FMA3840	posterior interventricular branch of right coronary artery	FJ2693
FMA3840	posterior interventricular branch of right coronary artery	FJ2694
FMA3840	posterior interventricular branch of right coronary artery	FJ2695
FMA3840	posterior interventricular branch of right coronary artery	FJ2696
FMA3840	posterior interventricular branch of right coronary artery	FJ2697
FMA3840	posterior interventricular branch of right coronary artery	FJ2698
FMA3840	posterior interventricular branch of right coronary artery	FJ2699
FMA3840	posterior interventricular branch of right coronary artery	FJ2700
FMA3855	trunk of left coronary artery	FJ2737
FMA3860	diagonal branch of anterior descending branch of left coronary artery	FJ2633
FMA3860	diagonal branch of anterior descending branch of left coronary artery	FJ2634
FMA3860	diagonal branch of anterior descending branch of left coronary artery	FJ2635
FMA3860	diagonal branch of anterior descending branch of left coronary artery	FJ2636
FMA3860	diagonal branch of anterior descending branch of left coronary artery	FJ2637
