parent id	parent name	child id	child name
FMA3734	aorta	FMA3736	ascending aorta
FMA3734	aorta	FMA3768	arch of aorta
FMA3734	aorta	FMA3784	descending aorta
FMA3784	descending aorta	FMA3789	abdominal aorta
FMA3784	descending aorta	FMA87217	descending thoracic aorta
FMA3862	anterior interventricular branch of left coronary artery	FMA3860	diagonal branch of anterior descending branch of left coronary artery
FMA3862	anterior interventricular branch of left coronary artery	FMA3868	conus branch of anterior interventricular branch of left coronary artery
FMA3862	anterior interventricular branch of left coronary artery	FMA3872	first right anterior branch of anterior interventricular branch of left coronary artery
FMA3862	anterior interventricular branch of left coronary artery	FMA3874	second right anterior branch of anterior interventricular branch of left coronary artery
FMA3862	anterior interventricular branch of left coronary artery	FMA3876	third right anterior branch of anterior interventricular branch of left coronary artery
FMA3862	anterior interventricular branch of left coronary artery	FMA74912	trunk of anterior interventricular branch of left coronary artery
FMA3932	brachiocephalic artery	FMA3941	right common carotid artery
FMA3932	brachiocephalic artery	FMA3953	right subclavian artery
FMA3941	right common carotid artery	FMA3949	right internal carotid artery
FMA3949	right internal carotid artery	FMA49869	right ophthalmic artery
FMA3949	right internal carotid artery	FMA50029	right anterior cerebral artery
FMA3949	right internal carotid artery	FMA50082	right middle cerebral artery
FMA3949	right internal carotid artery	FMA50088	right anterior choroidal artery
FMA3953	right subclavian artery	FMA3958	right vertebral artery
FMA3953	right subclavian artery	FMA3969	right internal thoracic artery
FMA3953	right subclavian artery	FMA22672	right thoraco-acromial artery
FMA3953	right subclavian artery	FMA22675	right lateral thoracic artery
FMA3953	right subclavian artery	FMA22678	right subscapular artery
FMA3953	right subclavian artery	FMA22682	right anterior circumflex humeral artery
FMA3953	right subclavian artery	FMA22685	right posterior circumflex humeral artery
FMA3953	right subclavian artery	FMA22733	right radial artery
FMA3953	right subclavian artery	FMA22797	right ulnar artery
FMA3953	right subclavian artery	FMA70347	right thyrocervical artery
FMA3953	right subclavian artery	FMA70351	right costocervical artery
FMA3958	right vertebral artery	FMA50519	right posterior inferior cerebellar artery
FMA3958	right vertebral artery	FMA50532	right anterior spinal artery
FMA3958	right vertebral artery	FMA50542	basilar artery
FMA3969	right internal thoracic artery	FMA3988	right superior epigastric artery
FMA3969	right internal thoracic artery	FMA10692	right musculophrenic artery
FMA4058	left common carotid artery	FMA4062	left internal carotid artery
FMA4062	left internal carotid artery	FMA49870	left ophthalmic artery
